Reporting country,Reference period,Item code,Item name,Value,Undertaking type,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
AUSTRIA,2017 Q1,R0550,Total eligible own funds to meet the MCR,17960.425623,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0580,SCR,448.862624,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0580,SCR,4957.577063,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0580,SCR,7856.295552,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0600,MCR,203.255619,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0600,MCR,1296.145009,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0600,MCR,2469.235118,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0620,Ratio of Eligible own funds to SCR,2.75625,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0620,Ratio of Eligible own funds to SCR,1.79001,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0620,Ratio of Eligible own funds to SCR,3.49883,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0620,Ratio of Eligible own funds to SCR,2.34286,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.74861,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.81448,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.72788,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.84554,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.99772,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.12015,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.24239,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0620_P25,Ratio of Eligible own funds to SCR (P25),1.94041,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.36782,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.31651,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0620_P50,Ratio of Eligible own funds to SCR (P50),3.3082,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.28174,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.95676,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.53445,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0620_P75,Ratio of Eligible own funds to SCR (P75),3.80795,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.44136,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.76143,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0620_P90,Ratio of Eligible own funds to SCR (P90),2.7012,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0620_P90,Ratio of Eligible own funds to SCR (P90),5.27381,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0620_P90,Ratio of Eligible own funds to SCR (P90),2.65965,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0640,Ratio of Eligible own funds to MCR,8.72924,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0640,Ratio of Eligible own funds to MCR,3.95299,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0640,Ratio of Eligible own funds to MCR,12.25115,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0640,Ratio of Eligible own funds to MCR,7.27368,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0640_P10,Ratio of Eligible own funds to MCR (P10),4.25086,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0640_P10,Ratio of Eligible own funds to MCR (P10),2.74694,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0640_P10,Ratio of Eligible own funds to MCR (P10),4.98357,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0640_P10,Ratio of Eligible own funds to MCR (P10),4.76559,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0640_P25,Ratio of Eligible own funds to MCR (P25),5.19341,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0640_P25,Ratio of Eligible own funds to MCR (P25),3.75883,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0640_P25,Ratio of Eligible own funds to MCR (P25),6.69776,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0640_P25,Ratio of Eligible own funds to MCR (P25),5.77416,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0640_P50,Ratio of Eligible own funds to MCR (P50),7.1882,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0640_P50,Ratio of Eligible own funds to MCR (P50),4.84402,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0640_P50,Ratio of Eligible own funds to MCR (P50),8.71839,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0640_P50,Ratio of Eligible own funds to MCR (P50),7.24263,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0640_P75,Ratio of Eligible own funds to MCR (P75),9.73049,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0640_P75,Ratio of Eligible own funds to MCR (P75),5.48426,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0640_P75,Ratio of Eligible own funds to MCR (P75),11.73417,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0640_P75,Ratio of Eligible own funds to MCR (P75),9.12698,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0640_P90,Ratio of Eligible own funds to MCR (P90),12.8672,All undertaking types,20250930,38
AUSTRIA,2017 Q1,R0640_P90,Ratio of Eligible own funds to MCR (P90),5.91695,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0640_P90,Ratio of Eligible own funds to MCR (P90),13.79344,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0640_P90,Ratio of Eligible own funds to MCR (P90),10.09084,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0500,Total available own funds to meet the SCR,842.866998,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0500,Total available own funds to meet the SCR,18463.515432,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0500,Total available own funds to meet the SCR,19436.199635,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0510,Total available own funds to meet the MCR,842.866998,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0510,Total available own funds to meet the MCR,18336.320243,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0510,Total available own funds to meet the MCR,19370.667464,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0540,Total eligible own funds to meet the SCR,842.866998,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0540,Total eligible own funds to meet the SCR,17882.089757,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0540,Total eligible own funds to meet the SCR,19436.199635,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0550,Total eligible own funds to meet the MCR,842.866998,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0550,Total eligible own funds to meet the MCR,16393.750674,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0550,Total eligible own funds to meet the MCR,18619.791261,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0580,SCR,410.551422,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0580,SCR,5064.867808,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0580,SCR,7957.755346,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0600,MCR,186.117487,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0600,MCR,1321.370153,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0600,MCR,2454.84953,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0620,Ratio of Eligible own funds to SCR,2.84081,All undertaking types,20250930,38
AUSTRIA,2017 Q2,R0620,Ratio of Eligible own funds to SCR,2.05301,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0620,Ratio of Eligible own funds to SCR,3.53061,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0620,Ratio of Eligible own funds to SCR,2.44242,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.84117,All undertaking types,20250930,38
AUSTRIA,2017 Q2,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.9508,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.7364,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0620_P10,Ratio of Eligible own funds to SCR (P10),1.89665,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.03591,All undertaking types,20250930,38
AUSTRIA,2017 Q2,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.11942,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.24643,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0620_P25,Ratio of Eligible own funds to SCR (P25),2.02669,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.40828,All undertaking types,20250930,38
AUSTRIA,2017 Q2,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.38845,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0620_P50,Ratio of Eligible own funds to SCR (P50),3.05448,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0620_P50,Ratio of Eligible own funds to SCR (P50),2.30608,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.76988,All undertaking types,20250930,38
AUSTRIA,2017 Q2,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.55803,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0620_P75,Ratio of Eligible own funds to SCR (P75),3.87251,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0620_P75,Ratio of Eligible own funds to SCR (P75),2.53721,Other undertakings,20250930,17
AUSTRIA,2017 Q2,R0620_P90,Ratio of Eligible own funds to SCR (P90),3.84396,All undertaking types,20250930,38
AUSTRIA,2017 Q2,R0620_P90,Ratio of Eligible own funds to SCR (P90),2.6769,Life undertakings,20250930,6
AUSTRIA,2017 Q2,R0620_P90,Ratio of Eligible own funds to SCR (P90),5.25872,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q2,R0620_P90,Ratio of Eligible own funds to SCR (P90),2.74568,Other undertakings,20250930,17
