Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020,2021,2022,2023,2024
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,711.9965098,833.5986217,933.2736156,1031.341465,1053.660977,1244.965505,1416.59612,1555.493758,1717.023181
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,650.0565013,642.5226413,696.219807,738.186752,720.3351434,781.8909252,836.2448756,888.1574074,908.5256742
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,679.6653866,783.1231866,808.5316132,807.4255249,836.2673142,912.4841047,873.4378619,964.9275542,962.9836279
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,7453.197979,7809.104657,8102.470848,6804.149231,5764.055029,6945.630698,7589.299649,6677.793435,6745.400132
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,17919.24264,18631.99301,19873.40152,19335.3602,17886.73317,20654.7002,20971.83493,23400.72788,24752.10684
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,9221.234611,9751.426612,10083.02128,10462.79292,8968.558901,9622.240505,10535.45888,11308.28742,11871.6117
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,48181.74535,50765.74947,54545.13586,53309.20359,54812.66618,58135.99399,55635.00065,58498.97431,
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,4060.13755,4324.996082,4352.946518,4511.997552,4477.617618,4912.622257,5358.701275,5758.308763,6150.025978
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,35930.65949,36779.00789,37195.95031,39274.94314,36482.9364,38074.87937,41833.15171,,
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,5870.878238,6178.665044,6048.386972,6405.824434,6775.709391,9860.870148,17913.49281,20473.70022,29883.63412
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,37055.75389,38782.91754,41079.78727,41351.49891,40219.13602,45211.94105,46655.16486,48708.46247,50443.9276
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,43734.19807,46160.42979,48537.56689,48359.0012,46109.22999,49770.56424,48825.84419,50565.46477,54107.03452
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2307.344684,2413.007656,2464.642415,2502.327443,2307.614943,2735.147515,3003.289968,3227.457625,3426.434833
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,900.498036,939.7455321,977.3459005,984.5706616,968.074022,1049.999875,1111.391858,1140.19607,1202.769794
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,12821.17381,13902.63105,15460.41833,15563.81674,14808.46202,17789.93047,18466.09555,21865.45628,23931.45284
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1318.402682,1395.239452,1496.38049,1352.172042,1290.325387,1835.443941,1760.626357,1705.758085,2142.623305
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,13215.86053,14736.16682,16605.05705,17012.85986,16386.93088,19030.62813,18483.63669,22312.17903,23310.75127
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,5560.963294,6080.713266,6429.487613,6517.954322,6236.681205,7366.114738,7745.393066,7964.736753,8253.921253
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,4467.698316,4853.165655,5111.821395,5169.581323,4932.646214,5764.255489,6043.777287,6157.398215,6340.63327
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1316.751059,1358.710747,1409.898675,1434.204638,1374.492016,1465.046916,1551.173814,1458.944691,1441.908531
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1790.524013,1804.574022,1869.419707,1878.133758,1735.425044,1857.197346,1962.521523,1729.919829,1565.836271
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3521.469435,3798.883262,3860.953531,4106.948562,3853.702888,4287.17314,4730.834848,4876.307745,4925.430488
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1058.233475,1116.074161,1160.504189,1194.072157,1179.866456,1254.095721,1330.402539,1319.434443,1387.929373
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,82025.94545,83481.30385,89393.82442,87127.5518,79513.53303,94299.96935,88328.54813,,
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1707.508929,1950.104683,1966.254552,2041.428637,1907.042516,2239.613844,2347.448294,2530.120313,2696.6639
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,64192.94181,72198.1077,80738.96288,81810.19265,86622.50673,103961.9764,105234.5116,103887.8004,107316.3373
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,5477.037124,5753.115447,4631.78709,3831.278948,2988.781224,4334.792686,4405.092915,4465.637669,4771.40029
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,4334.420964,4759.284644,5646.689321,5671.856863,4295.189451,4868.494311,6520.731546,5965.318351,6073.610323
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,61987.92636,72010.14903,74452.18907,68452.23622,59023.56635,69178.4047,75121.01523,79960.09615,82703.85799
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,37671.53891,41138.47096,42362.66528,44250.63136,44575.5719,52270.90402,54949.62156,52003.72007,54176.68444
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,31391.56929,32844.11566,34904.10819,33812.78872,32091.48666,36852.54254,35653.90421,39065.42444,40226.04724
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5009.794487,5259.313328,5578.103475,5607.242993,4879.440258,5165.337821,6022.153398,6839.725024,7019.746348
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,3986.71677,4065.616287,4145.439897,4170.1144,4022.040136,4183.499983,4332.251599,4466.083142,4618.095925
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,39375.47316,38834.05293,39751.1331,40415.95676,40028.73417,40094.55998,34065.6439,33836.17563,32475.8925
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,7475.566887,8943.084168,9472.485273,9457.126147,8781.507978,9983.601036,11255.33964,12879.42753,14005.34874
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1554.126103,1667.484472,1836.452755,1960.408089,1927.66459,2061.356221,2109.562885,1952.304579,2206.134979
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1103.274894,1221.390468,1283.520304,1421.999275,1229.517666,1349.997307,1739.720183,2138.222102,2419.265536
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1675.195557,1826.353917,2036.673776,2225.877055,2081.739142,2167.403242,2325.0305,2429.748535,2627.879697
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1742.667993,1853.051227,1912.738094,1750.997719,1751.78232,2222.048295,2069.767201,2177.701141,2288.634583
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,21387.54155,22464.98996,22901.38164,23595.49232,18859.01904,18361.14497,20985.01122,22600.45023,22771.41689
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,29280.44032,31600.73587,33447.15628,31902.4169,31721.29891,35125.5225,32394.68337,33121.37129,
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,27323.68906,29047.65358,32067.96237,31707.87375,25236.07555,34018.63429,39981.7691,34075.84904,32213.86223
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,7975.721648,8811.135554,8468.201284,8266.474712,6892.381716,7955.361334,9093.652742,10166.92867,10344.6689
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2303.22156,2432.430595,2545.107542,2589.32081,2583.777307,2526.05105,2046.404403,2066.949798,2123.979094
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,8089.012088,8608.21085,9174.536662,8905.880055,5561.19167,4045.373911,3654.358455,3477.724898,
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,714.6130631,699.2690957,692.2031271,658.1641808,616.787867,667.9661051,744.6171752,799.1944702,846.2773684
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,7525.802993,9965.832367,11196.58548,9963.194891,6650.338106,4935.827873,5986.636949,6172.812469,6318.40314
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,10638.12694,11333.11238,11642.69847,11794.05972,8411.074749,10459.13212,13103.82431,13554.76848,14181.63034
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,8460.655436,9308.696171,9032.038483,8830.227822,7445.296453,8597.53194,9716.032667,10838.82795,11044.67966
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,963.9465482,1030.330022,1072.374861,1104.186332,1088.704909,1161.529355,1273.789792,1220.238439,1258.940012
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,630.7698559,635.4754494,647.1633972,654.9409479,607.9647537,643.369305,723.5046389,697.1711915,746.9347888
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,165375.4914,170547.0923,174988.7751,166907.8393,164671.0936,201944.8303,186821.8818,207973.6177,
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,4149.191908,4398.888281,4358.560959,4081.947727,3847.601377,3996.9624,3342.636503,3798.890166,4515.567873
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,1892.70524,2019.49854,2078.757389,2153.954271,2058.4346,2302.447369,2424.150547,2443.408276,2517.632612
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,4269.770067,4607.317363,4846.863345,4904.422916,4698.51753,5485.924721,5702.283442,5819.840863,5974.804522
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,992.4918407,1069.366732,1170.655697,1082.057068,918.5825774,1066.586436,1030.125796,916.2829705,971.8146205
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,8290.74163,9131.372167,9959.66551,10112.20129,9869.5402,11755.42454,12280.10754,12422.7254,12843.33444
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,14934.27028,16800.15102,19247.23154,19608.79439,20428.64782,23870.45949,25085.78406,27786.00578,29386.28784
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,106899.2935,110193.2138,116926.7596,112696.6491,116860.0282,134965.8154,123719.6589,131407.6814,137516.5873
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,13838.52668,15132.49583,17252.17104,17294.97516,17564.23215,20261.88878,20227.23074,22675.57863,23367.59868
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,69074.0363,77704.92153,83761.81718,81967.69917,36976.25611,45376.31459,36909.95641,67476.52908,73046.88903
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,19033.05949,,21668.37409,,,
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3140.855469,3296.526611,3501.697998,3508.097656,3268.030273,3785.936279,3455.39624,3771.446289,3993.387451
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,173604.7536,170663.3752,188298.3157,193746.7856,176891.8865,223823.364,226052.0019,256580.5151,
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,2847.087948,3453.267277,4156.44982,4405.334182,4375.778893,5274.605822,5744.296184,6799.585946,7617.516131
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,453.9707145,491.8668487,500.4571855,499.8188376,450.7716152,483.4694634,503.5145335,508.7184277,544.9973027
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,9947.807447,10509.62881,11423.28384,11740.2724,7393.888654,10176.14388,11786.00915,12530.36024,13215.53536
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,5080.740677,5232.296316,5509.559138,5371.489872,4707.819861,5575.272986,6383.398393,6063.052477,6180.858784
